Name,depart_time,price,depart_time_hour,depart_time_minute
제주항공,08:00,35424,8,0
에어부산,08:30,31187,8,30
아시아나항공,08:30,93051,8,30
에어부산,08:40,28136,8,40
아시아나항공,08:40,93051,8,40
제주항공,08:45,35424,8,45
대한항공,09:00,85594,9,0
에어부산,09:10,28814,9,10
아시아나항공,09:10,93051,9,10
에어부산,09:15,28814,9,15
아시아나항공,09:15,93051,9,15
이스타항공,10:05,29831,10,5
에어부산,10:40,30000,10,40
아시아나항공,10:40,93051,10,40
제주항공,10:45,38645,10,45
대한항공,12:00,85594,12,0
제주항공,12:55,41865,12,55
에어부산,13:25,32543,13,25
아시아나항공,13:25,93051,13,25
에어부산,13:30,33051,13,30
아시아나항공,13:30,93051,13,30
제주항공,14:05,51356,14,5
에어부산,14:55,47628,14,55
아시아나항공,14:55,93051,14,55
제주항공,15:30,55594,15,30
에어부산,16:30,72204,16,30
대한항공,17:40,85594,17,40
제주항공,17:50,64068,17,50
대한항공,18:00,85594,18,0
제주항공,18:30,76780,18,30
에어부산,19:35,59492,19,35
아시아나항공,19:35,93051,19,35
에어부산,19:55,64407,19,55
아시아나항공,19:55,93051,19,55
대한항공,20:00,85594,20,0
제주항공,20:05,59831,20,5
대한항공,21:05,85594,21,5
