Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,KTX,SRT,blank,KTX,KTX,KTX,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,blank,KTX,무궁화호,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,무궁화호,blank,KTX-산천,KTX-산천,KTX,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,KTX,KTX,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,무궁화호,KTX,KTX-산천,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,무궁화호,blank,KTX,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,blank,KTX,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,KTX-산천,SRT,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,KTX-산천,KTX-산천,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,blank,KTX,SRT,KTX-산천,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,blank,KTX,SRT,KTX-산천,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,무궁화호,blank,SRT,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,blank,KTX-산천,무궁화호,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,KTX-산천,KTX,SRT,ITX-새마을,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,blank,KTX-산천,SRT,KTX,KTX-산천,무궁화호,blank,blank,blank,blank,blank,blank
